specimen	reagent_tissue	litter	vendor	mouse	tissue_type	log_IL1a	VEGF	FGF	IL17	IL2	MIG	IL4	cage	IL1a
Tissue__Jackson2_10_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_10	Lung	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	JL_2_2	4.187217217
Tissue__Jackson2_10_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_10	Nasal	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	JL_2_2	4.187217217
Tissue__Jackson2_10_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_10	Tongue	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	JL_2_2	4.187217217
Tissue__Jackson2_01_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_1	Cecum	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	JL_2_1	15.95611523
Tissue__Jackson2_01_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_1	Lung	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	JL_2_1	15.95611523
Tissue__Jackson2_01_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_1	Nasal	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	JL_2_1	15.95611523
Tissue__Jackson2_01_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_1	Tongue	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	JL_2_1	15.95611523
Tissue__Jackson2_02_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_2	Cecum	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	JL_2_1	4.856272038
Tissue__Jackson2_02_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_2	Lung	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	JL_2_1	4.856272038
Tissue__Jackson2_02_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_2	Nasal	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	JL_2_1	4.856272038
Tissue__Jackson2_02_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_2	Tongue	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	JL_2_1	4.856272038
Tissue__Jackson2_03_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_3	Cecum	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	JL_2_1	7.890260921
Tissue__Jackson2_03_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_3	Lung	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	JL_2_1	7.890260921
Tissue__Jackson2_03_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_3	Nasal	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	JL_2_1	7.890260921
Tissue__Jackson2_03_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_3	Tongue	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	JL_2_1	7.890260921
Tissue__Jackson2_04_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_4	Cecum	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	JL_2_1	4.457209752
Tissue__Jackson2_04_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_4	Lung	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	JL_2_1	4.457209752
Tissue__Jackson2_04_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_4	Nasal	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	JL_2_1	4.457209752
Tissue__Jackson2_04_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_4	Tongue	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	JL_2_1	4.457209752
Tissue__Jackson2_05_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_5	Cecum	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	JL_2_1	7.368482595
Tissue__Jackson2_05_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_5	Lung	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	JL_2_1	7.368482595
Tissue__Jackson2_05_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_5	Nasal	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	JL_2_1	7.368482595
Tissue__Jackson2_05_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_5	Tongue	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	JL_2_1	7.368482595
Tissue__Jackson2_06_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_6	Cecum	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	JL_2_2	7.364191356
Tissue__Jackson2_06_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_6	Lung	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	JL_2_2	7.364191356
Tissue__Jackson2_06_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_6	Nasal	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	JL_2_2	7.364191356
Tissue__Jackson2_06_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_6	Tongue	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	JL_2_2	7.364191356
Tissue__Jackson2_07_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_7	Cecum	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	JL_2_2	6.313493359
Tissue__Jackson2_07_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_7	Lung	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	JL_2_2	6.313493359
Tissue__Jackson2_07_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_7	Nasal	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	JL_2_2	6.313493359
Tissue__Jackson2_07_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_7	Tongue	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	JL_2_2	6.313493359
Tissue__Jackson2_08_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_8	Cecum	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	JL_2_2	3.5214547
Tissue__Jackson2_08_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_8	Lung	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	JL_2_2	3.5214547
Tissue__Jackson2_08_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_8	Nasal	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	JL_2_2	3.5214547
Tissue__Jackson2_08_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_8	Tongue	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	JL_2_2	3.5214547
Tissue__Jackson2_09_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_9	Cecum	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	JL_2_2	3.119303087
Tissue__Jackson2_09_Lung__	Tissue	Jackson2	Jackson_Labs	JL2_9	Lung	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	JL_2_2	3.119303087
Tissue__Jackson2_09_Nasal_	Tissue	Jackson2	Jackson_Labs	JL2_9	Nasal	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	JL_2_2	3.119303087
Tissue__Jackson2_09_Tongue	Tissue	Jackson2	Jackson_Labs	JL2_9	Tongue	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	JL_2_2	3.119303087
LPS_____XXXXXXXX_01_LPS___	LPS	XXXXXXXX	XXXXXXXX	1	LPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPS_____XXXXXXXX_02_LPS___	LPS	XXXXXXXX	XXXXXXXX	2	LPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPS_____XXXXXXXX_03_LPS___	LPS	XXXXXXXX	XXXXXXXX	3	LPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPS_____XXXXXXXX_04_LPS___	LPS	XXXXXXXX	XXXXXXXX	4	LPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPS_____XXXXXXXX_05_LPS___	LPS	XXXXXXXX	XXXXXXXX	5	LPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_01_PBS___	Control	XXXXXXXX	XXXXXXXX	1	PBS	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_02_Water_	Control	XXXXXXXX	XXXXXXXX	2	Water	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock____XXXXXXXX_01_XXXXXX	Mock	XXXXXXXX	XXXXXXXX	1	XXXXXX	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock____XXXXXXXX_02_XXXXXX	Mock	XXXXXXXX	XXXXXXXX	2	XXXXXX	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_01_Water_	Control	XXXXXXXX	XXXXXXXX	1	Water	NA	NA	NA	NA	NA	NA	NA	NA	NA
